Marca temporal,Enunciado de la pregunta,Respuesta A,Respuesta B,Respuesta C,Respuesta D,Respuesta correcta,Área temática,Dificultad
2/05/2017 13:07:33,¿Como se llama el alimento que parece un donut típico de valencia? ,Donuts,Buñuelos,Donetes,Rosco,B,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:07:34,cuando y donde se estreno el gato montes?,"Valencia, 22 de febrero del 1917","Nueva york, 22 de febrero de 1917","valencia, 23 de febrero de 1917","Nueva York, 22 de enero de 1917",A,4 Valencia contemporánea,3 Normal
2/05/2017 13:07:48,¿En qué año murió Manuel Penella Moreno?,12 de julio de 1945,24 de enero de 1939,13 de febrero de 1922,7 de octubre de 1939,B,4 Valencia contemporánea,4 Complicada
2/05/2017 13:08:02,Marisco utilizado en la paella valenciana de cáscara dura y sabor dulce.,Pulpo,Mejillones,Langostinos,Gambas,D,3 Valencia Moderna,2 Fácil
2/05/2017 13:08:20,Nombre real de Concha Piquer ,María de la Concepción Piquer López  ,Isabel Piquer López ,Anabel Piquer López,Inmaculada de la Concepción Piquer López ,A,4 Valencia contemporánea,4 Complicada
2/05/2017 13:09:41,Bebida que se extrae dela chufa,Horchata,Fanta,Zumo de naranja,Agua,A,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:09:45,Nombre de hijo de Concha Piquer,Concha Lopez Piquer,Concha Manuel Piquer,Concha Marquez piquer,Concha Antonio Piquer,D,4 Valencia contemporánea,2 Fácil
2/05/2017 13:10:01,Manuel Candela era especialista en...,Osteopatía,Ginecología,Pediatría,Odontología,B,4 Valencia contemporánea,3 Normal
2/05/2017 13:10:02,¿A qué edad murió Concha Piquer?,80 años,85 años,90 años,83 años,D,4 Valencia contemporánea,3 Normal
2/05/2017 13:10:10,¿Que ocupaciones tenia el compositor del Himno de Valencia?," Compositor, Musicólogo y pianista","Pianista, Pintor y Concejal ",Compositor y Alcalde,"Pintor , Compositor y Alcade ",A,3 Valencia Moderna,5 Muy complicada
2/05/2017 13:10:14,Embutido de color negro o marrón hecho de sangre de cerdo coagulada. Puede tener arroz o cebolla dentro.,Morcilla,Salchichas,Longaniza de pascua,Conejo,A,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:10:16,¿Como se eligió el himno valenciano de José Serrano?,Siendo aprobado por los alcaldes de los municipios de la Comunidad Valencia,Elecciones provinciales,Petición popular,Lo eligió el alcalde de Valencia,A,3 Valencia Moderna,3 Normal
2/05/2017 13:10:21,"Marisco de cáscara negra y dura que vive adherido a las rocas, se suele usar en diversos platos como la paella o la mariscada",Mejillones,Langostino,Caracoles,Ninguna es correcta,A,3 Valencia Moderna,2 Fácil
2/05/2017 13:10:37,¿cuando murió Manuel penella ?,1936,1939,1939, no se ,B,4 Valencia contemporánea,3 Normal
2/05/2017 13:11:17,¿Cual de estos personajes tiene una calle?,José Serrano Simeón,Conchita Piquer,Manuel Penella Moreno,Todos,D,4 Valencia contemporánea,3 Normal
2/05/2017 13:11:50,Cuál es el origen del arroz al horno?,Las abuelas,Aprovechar los restos del cocido,Ha sido siempre plato tradicional,Se originó el otra parte y acabo llegando aqui,B,3 Valencia Moderna,5 Muy complicada
2/05/2017 13:11:51,Ingredient junt els naps del que es fa un tipic arròs caldós valencià,Ceba,Fessols,Creïlla,Xampinyons,B,3 Valencia Moderna,4 Complicada
2/05/2017 13:12:00,Fruta ácida que se le puede poner a la paella,Naranja,Fresa,Limón,Ninguna es correcta,D,3 Valencia Moderna,2 Fácil
2/05/2017 13:12:25,¿Qué es una lucerna?,Una lámpara romana,Un tipo de vasija,Una tetera,Un tipo de calzado,A,1 Valencia Romana,2 Fácil
2/05/2017 13:14:47,¿Cual es la ciudad natal de José Serrano Simeon?,Castellon ,Sueca,Valencia,Murcia,B,3 Valencia Moderna,3 Normal
2/05/2017 13:15:20,Planta aro mágica que se pone en la paella?,Romero,Tomillo,Albahaca ,Oregano,A,3 Valencia Moderna,3 Normal
2/05/2017 13:15:36,Aliment essencial de forma arrinyonada en una paella valenciana,Baxoqueta,Arròs,Carlota,Garrofó,D,3 Valencia Moderna,2 Fácil
2/05/2017 13:17:46,"En que obra se toca"" El pasodoble Torero"" ?",Grease,El Gato Montes ,Jesucristo superstar ,El hombre de la mancha ,B,4 Valencia contemporánea,3 Normal
2/05/2017 13:19:20,¿Quien creo el himno de la Comunidad Valenciana?,Conchita Piquer,Lucrezia Bori,José Serrano Simeón,Manuel Penella Moreno,D,3 Valencia Moderna,2 Fácil
2/05/2017 13:19:28,En que tipo de compases solía componer Manuel Penella,3 por 4 y 4 por 4,7 por 8 y 2 por 2,13 por 8 y 17 por 16,5 por 8 y 3 por 4,A,3 Valencia Moderna,5 Muy complicada
2/05/2017 13:20:08,¿Que tipo de musica hacia Jośe Serrano?,Reggetón,Copla,Clásica,Dubstep,D,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:22:27,¿Donde se encuentra la escultura José Serrano Simeón?,Gran Vía,Plaza del Ayuntamiento,Hermanos Maristas,Reino de Valencia,D,3 Valencia Moderna,4 Complicada
2/05/2017 13:25:17,¿Que tesitura tenia Lucrezia Bori?,Contralto,Soprano,Mezzosoprano,Era transexual y mantenia voz de tenor,B,3 Valencia Moderna,3 Normal
2/05/2017 13:26:42,¿Quién fue Lucrezia Bori?,Una soprano valenciana,La hermana de Falete,Un personaje de Disney,Una atleta Valenciana,A,3 Valencia Moderna,2 Fácil
2/05/2017 13:28:07,¿Cuál es el lugar de procedencia de José Serrano Simeon?,Suecia,Gandía ,Sueca,Alicante,D,3 Valencia Moderna,3 Normal
2/05/2017 13:28:14,Quan jurà els furs Jaume I? ,1116,1261,1303,2010,B,2 Valencia Medieval,3 Normal
2/05/2017 13:32:17,Cuantos hijos tenia Manuel Penella Moreno,6 Hijos,5 Hijos,3 Hijos,2 Hijos,B,4 Valencia contemporánea,3 Normal
2/05/2017 13:32:58,¿Cuando empieza la edad media?,476,1400,711,1492,A,2 Valencia Medieval,1 Muy fácil
2/05/2017 13:37:36,Ciencia que estudia el universo,Gastronomia,Astronomia,Matematicas,Religión,B,3 Valencia Moderna,2 Fácil
2/05/2017 13:39:18,"Que método científico se puso de moda en la edad moderna, basado en la experiencia y la observación de los hechos?",Evolucionismo ,Creacionismo ,Heliocentrismo ,Empirico,D,3 Valencia Moderna,5 Muy complicada
2/05/2017 13:41:10,¿Que instrumento inventado en la edad mediana se usa pars medir la impresión atmosférica?,Barómetro,Geocentrismo,Imprenta,Paracaidas,A,3 Valencia Moderna,2 Fácil
2/05/2017 13:41:17,Astronom conegut pel seu estudi del heliocentrisme,Cristòbal colom,Leonardo da vinci,Copernic,Carlos lll,C,3 Valencia Moderna,3 Normal
2/05/2017 13:43:24,¿Quien pintó la Mona Lisa?,Picasso,Miró,Leonardi Da Vinci,Bach,C,3 Valencia Moderna,1 Muy fácil
2/05/2017 13:44:58,Nombre del más famoso Renacentista Italiano?,Leonardo da Vinci,Botticelli,Donatello,Rafael,A,3 Valencia Moderna,4 Complicada
2/05/2017 13:48:49,Método de investigación usado principalmente en la producción de conocimiento en las ciencias?,Metodo de la observacion cientifica,Método cientifico,Metodo humanistico,Ninguna correcta,B,3 Valencia Moderna,5 Muy complicada
2/05/2017 13:50:20,cuantas obras líricas escribio manuel penella?,25,55,57,35,B,4 Valencia contemporánea,3 Normal
2/05/2017 13:51:18,"Lo forman las estrellas, planetas y galaxias",Asteroides,Universo,Satélite,Meteorito,B,3 Valencia Moderna,3 Normal
2/05/2017 13:53:49,Que perfeccionó Galileo?,Paracaidas,Barometro,Imprenta,Cañones de telescopio,D,3 Valencia Moderna,3 Normal
2/05/2017 13:55:18,Trayectoria que hace un objeto alrededor de otro?,Orbita,Giro,Rotación,Ninguna es correcta,A,3 Valencia Moderna,3 Normal
2/05/2017 13:59:02,Quan es va construir la muralla de València? ,1363,250,1313,554,A,2 Valencia Medieval,3 Normal
2/05/2017 14:00:35,Como se llama valencia en la epoca musulmana?,Balesa,Valentia,Valencia,Balansiya,D,2 Valencia Medieval,3 Normal
2/05/2017 14:00:34,En qui any se publica a València el Tirant Lo Blanc,1490,1482,1171,1392,A,2 Valencia Medieval,4 Complicada
2/05/2017 14:01:01,Quan es va fundar la Universitat de València?,1215,1338,1499,1496,C,2 Valencia Medieval,3 Normal
2/05/2017 14:01:10,Cuant va ser reconquitada Valencia,9999,1313,1094,1100,C,2 Valencia Medieval,5 Muy complicada
2/05/2017 14:02:19,Quan va ser la riuada del Guadalaviar?,1997,926,817,1088,D,2 Valencia Medieval,3 Normal
2/05/2017 14:02:24,Quan va caure l'imperi romà? ,411,460,476,489,C,2 Valencia Medieval,3 Normal
2/05/2017 14:02:29,En que año el Cid se nombra principe de valencia?,1068,1102,1094,1220,C,2 Valencia Medieval,3 Normal
2/05/2017 14:02:30,Di un nombre de un juego de niños   romanos,Tabas,Cometas ,Aros ,Peonza ,A,1 Valencia Romana,3 Normal
2/05/2017 14:02:52,Quant esba publicar  a Valencia el Tirant lo Blanc ,1490,1124,3456,1234,A,2 Valencia Medieval,3 Normal
2/05/2017 14:03:10,Que es el zoco?,Una comida,Una bebida,Un mercado arabe,El nombre de mi madre,C,2 Valencia Medieval,2 Fácil
2/05/2017 14:03:12,Cuanto es va publicar el tirant lo blanc ,1490,1500,1480,1450,A,2 Valencia Medieval,2 Fácil
2/05/2017 14:03:50,Quan va ser la caiguda del imperi  romà,476,376,5677,789,A,2 Valencia Medieval,1 Muy fácil
2/05/2017 18:47:00,¿Dónde y cuándo nació Blasco Ibáñez?,"Menton, 31 de diciembre de 1687","Valencia, 30 de febrero de 1562","Menton, 28 de enero de 1928","Valencia, 29 de enero de 1867",D,4 Valencia contemporánea,3 Normal
2/05/2017 18:48:56,¿A qué partido político pertenecía Blasco Ibáñez?,Al Partido Socialista,Al Partido Comunista,Al Partido Republicano,Al Partido Conservador,C,4 Valencia contemporánea,2 Fácil
2/05/2017 18:50:04,¿Vicente Blasco Ibáñez durante cuántas legislaturas fue diputado por Valencia ?,Ninguna,3,2,7,D,4 Valencia contemporánea,2 Fácil
2/05/2017 18:51:12,¿Qué periódico fundó Blasco Ibáñez?,El Pueblo,La Razón,Las Provincias,Levante,A,4 Valencia contemporánea,3 Normal
2/05/2017 18:52:30,¿Cuál de las siguientes novelas escribió Blasco Ibáñez?,EL Quijote,La Regenta,Entre naranjos,Crónica de una muerte anunciada,C,4 Valencia contemporánea,3 Normal
2/05/2017 18:54:26,¿Cuál de estas novelas de Blasco Ibáñez fue llevada al cine en Hollywood?,La Barraca,Los cuatro jinetes del apocalipsis,Cañas y barro,Arroz y tartana,B,4 Valencia contemporánea,2 Fácil
2/05/2017 18:55:34,¿En qué país se arruinó Blasco Ibáñez por pretender fundar una colonia?,Bolivia,Perú,Argentina,Ecuador,C,4 Valencia contemporánea,3 Normal
2/05/2017 18:57:00,¿Cuál de las siguientes novelas no es de Blasco Ibáñez?,Cañas y barro,Entre manzanos,La Barraca,Arroz y tartana,B,4 Valencia contemporánea,2 Fácil
2/05/2017 18:58:31,¿Qué famoso actor de la época protagonizó en Hollywood la película ¨Los cuatro jinetes del apocalipsis¨?,Brad Pitt,Cary Grant,Gary Cooper,Rodolfo Valentino,D,4 Valencia contemporánea,4 Complicada
2/05/2017 18:59:20,¿Dónde murió Blasco Ibáñez?,España,EEUU,Francia,Argentina,C,4 Valencia contemporánea,2 Fácil
2/05/2017 21:44:14,cuándo nació San Vicente Ferrer?,Nació el 25 de diciembre de el 1350,Nació el 23 de enero de el 1350,nació el 24 de octubre de el 1349,Nació el 12 de febrero de el 1492,B,2 Valencia Medieval,2 Fácil
3/05/2017 8:24:17,Cóm es diuen les peces de pedra o cristall que formane els mosaics romans?,Cubs,Pedretes,Tessel·les,Peces,C,1 Valencia Romana,2 Fácil
3/05/2017 8:26:55,Al voltant dels mosaics romans sol haver una tira amb dibuixos geomètrics. Cóm s'anomena aquesta tira?,Marc,Greca,Cinta exterior,Romaneca,B,1 Valencia Romana,2 Fácil
3/05/2017 8:31:13,¿ Cuál de estos monumentos arquitectónicos pertenece al Renacimiento?,La Lonja,El Palau de la Generalitat,La iglesia de El Patriarca,Universidad vieja,D,3 Valencia Moderna,3 Normal
3/05/2017 8:31:19,"Cóm s'anomenen les decoracions romanes formades per pedretes de diferents colors representant animals, fruites, escenes de caça o mitològiques?",Mosaics,Pintures,Tapissos,Quadres,A,1 Valencia Romana,1 Muy fácil
3/05/2017 8:33:23,¿Cuál de estos edificios pertenece al Barroco?,La Lonja,Universidad vieja,El Patriarca,San Miguel de los Reyes,D,3 Valencia Moderna,2 Fácil
3/05/2017 8:36:18,¿ Cuándo se inició y cuándo finalizó la construcción del Marqués de dos Aguas?,1.740- 1.867,1.212-1618,1.500-1515,1.457- 1.822,A,3 Valencia Moderna,4 Complicada
3/05/2017 8:38:50,¿ Qué arquitectos iniciaron la reforma del MarquéS de dos Aguas?,Joan Corbera,Nicolau Alemany,Pere Compte,Giner Rabassa y Lanuza,D,3 Valencia Moderna,3 Normal
3/05/2017 8:38:51,¿Qué significan las siglas WWW?,World Wide Web,World Wildlife Fund,Web Wild World ,Ninguna de las anteriores,A,4 Valencia contemporánea,3 Normal
3/05/2017 8:40:24,¿ Qué era el Palacio del Marqués de dos Aguas antes de construirlo?,un castillo,una cárcel,un hospital,una casa solariega,D,3 Valencia Moderna,3 Normal
3/05/2017 8:41:40,¿ De qué material está hecha la fachada del Marqués de dos Aguas?,de alabastro,mármol,metal,arcilla,A,3 Valencia Moderna,1 Muy fácil
3/05/2017 8:44:37,Quina és la lletra de l’himne d’Espanya? ,No té lletra oficial definitiva,"Viva España, cantemos todos juntos...","Viva España, alzad los brazos hijos...","El chiqui-chiqui mola mogollón,  lo bailan en la China y también en Alcorcón",A,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:44:38,Quan es va construir el Micalet?,1396,1400,1363,1515,A,2 Valencia Medieval,3 Normal
3/05/2017 8:44:44,En quin any va ser l'expulsió dels Bizantins?,715,607,625,565,C,2 Valencia Medieval,4 Complicada
3/05/2017 8:44:53, ¿Que estudió San Vicente Ferrer?,Medicina,Agricultura,Biblia y teologia,Artesania,C,2 Valencia Medieval,3 Normal
3/05/2017 8:45:00,¿A qué grupo pertenece la canción A LAS BARRICADAS?,Bando nacional,Bando republicano,Brigadas internacionales,Bando anarquista,B,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:46:41,Amb quins 3 adjectius definíen a Espanya amb l´Himne de la Falange?,"Libertad, Igualdad y Fraternidad","Arriba, Abajo y al Centro","Una, Grande y Libre","Dos, Pequeña y Encarcelada",C,5 Valencia desde la guerra civil hasta el presente,2 Fácil
3/05/2017 8:47:05,Que va ser Jaume Roig,Religios mercedari i arquitecte,Pedrapiquer i sacerdot,Escriptor i metge prestigios,Religios i predicador,C,2 Valencia Medieval,2 Fácil
3/05/2017 8:47:09,De dónde trajeron el material para la construcción del Marqués de Dos Aguas?,Barcelona,Madrid,Picasent,Menorca,C,3 Valencia Moderna,3 Normal
3/05/2017 8:47:11,Després de que fet historic surt la nova canço en valencià,Despres de la guerra civil,Despres de la post guerra,Despres de la transiçio politica,Despres del bombardeig de Guernica,B,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:47:12,Després de que fet historic surt la nova canço en valencià,Despres de la guerra civil,Despres de la post guerra,Despres de la transiçio politica,Despres del bombardeig de Guernica,B,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:47:54,¿Con quien se casó Maria de Castella?,Jaime Roig,Alfonso el Magnónim,Ferran d'Aragó,Pere Compte,B,2 Valencia Medieval,3 Normal
3/05/2017 8:49:02,¿ Quién construyó La Lonja?,Calatrava,Lanuza,Perellós,Pere Compte,D,3 Valencia Moderna,3 Normal
3/05/2017 8:49:41,Que pintor molt conegut va representar al pare Jofre al seu quadre,Velazquez,Goya,Sorolla,Joan de Joanes,C,2 Valencia Medieval,3 Normal
3/05/2017 8:50:18,¿Quina va ser la obra més importante de Isabel de Villena ,La Monalisa,El llibre de les Dones,Llotja de la Sed,Vita Christi,D,2 Valencia Medieval,2 Fácil
3/05/2017 8:50:22,En quin any va passar Valentia a anomenar-se Balansiya?,809,788,711,720,C,2 Valencia Medieval,3 Normal
3/05/2017 8:50:43,On va naixer Maria de Castella,Valencia,Segovia,Girona,Lliria,B,2 Valencia Medieval,3 Normal
3/05/2017 8:51:07,"Muerto el primer arquitecto, ¿ qué otras dos personas intervinieron en la construcción?",Perellós,Lanuza,Calatrava,Joan Corbera y Nicolau Alemany,D,3 Valencia Moderna,1 Muy fácil
3/05/2017 8:51:45,Nomena una cançó del bàndol republicà i altra del bàndol nacionalista,Cara al Sol i Campanera,Cara al Sol i Puente de los franceses ,Puente de los franceses i Mi pequeño ruiseñor,Quédate Conmigo i Pantera en Libertad,B,5 Valencia desde la guerra civil hasta el presente,4 Complicada
3/05/2017 8:51:50,En quien any el Cid és  nombra Príncep de Valéncia?,1003,1090,1100,1094,D,2 Valencia Medieval,4 Complicada
3/05/2017 8:52:04,On va ser educada Isabel de Villena,La cort de Maria de Castella,Arago,L-esglesia Sant Nicolau,La Llotja,A,2 Valencia Medieval,3 Normal
3/05/2017 8:52:24,¿quants matrimonis va tindre Isabel de germana de Foix,1,2,4,3,D,2 Valencia Medieval,2 Fácil
3/05/2017 8:52:33,¿En qué año se terminó la construcción de La Lonja?,1.200,1.548,1.320,1.640,B,3 Valencia Moderna,4 Complicada
3/05/2017 8:52:37,En quina època van estar els visigots a la Pensinsula Ibèrica?,Moderna,Medieval,Romana,Contemporània,B,2 Valencia Medieval,1 Muy fácil
3/05/2017 8:53:36,¿Cuál fue la única obra que se ha conservado de Isabel?,La Bíblia,Finis Mundi ,Viti Christi ,Los tres mosqueteros,C,2 Valencia Medieval,3 Normal
3/05/2017 8:53:55,En quien any va entrar la Pesta negra a Valéncia?,1350,1349,1400,1348,D,2 Valencia Medieval,3 Normal
3/05/2017 8:54:03,En quin any es va construir la muralla de València?,1363,1290,1450,1320,A,2 Valencia Medieval,4 Complicada
3/05/2017 8:54:03,Que monestir va fundar i va ser soterrada alli Germana de Foix,El monestir de la Trinitat,El convent de les Clarises,El monestir de Sant Miquel dels Reis,El convent de les dominiques,C,2 Valencia Medieval,3 Normal
3/05/2017 8:54:06,Qui canta ``El novio de la muerte´´?,Marilyn Manson,Los Reyes Católicos,Las Fuerzas Armadas,La Legió,D,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:54:15,¿Que va ser Jaume Roig?,Un bon artesà,Escriptor i metge prestigiós,Escriptor i arquitecte,Arquitecte i metge,B,2 Valencia Medieval,2 Fácil
3/05/2017 8:54:25,¿Que fue Maria de Castella entre 1416 y 1459?,Fue reina consorte de Aragon,Fue reina consorte de Castella,Fue reina consorte de Navarra,Fue reina consorte de Andalucia,A,2 Valencia Medieval,3 Normal
3/05/2017 8:54:38,¿Que va ser Germana de Foix des de 1523?,Reina,Duquesa,Infanta,Virreina,D,2 Valencia Medieval,3 Normal
3/05/2017 8:54:55,"¿Quien creó el himno ""el novio de la muerte""?",Lola Montes,Mercedes Fernández,Fidel Prado,José Millán Astray,C,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:55:15,"Escoltant la lletra, a quin bàndol pertany la cançó ``Ay, Carmela´´?",Bàndol republicà,Bàndol nacionalista,Bàndol moro,Bàndol cristià,A,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:55:20,Rómulo fundó Roma en la península itálica sobre...,El monte palatino,Una llanura,Los Pirineos,La playa,A,1 Valencia Romana,1 Muy fácil
3/05/2017 8:55:24,¿ Para qué era utilizada La Lonja?,para hacer exposiciones,para hacer mercadillos,para que durmieran indigentes,para la contratación de mercaderes,D,2 Valencia Medieval,2 Fácil
3/05/2017 8:55:42,On va naixer Pere Compte?,Girona,Valencia,Gandía,Sevilla,A,2 Valencia Medieval,2 Fácil
3/05/2017 8:56:20,¿que fue Jaume Roig?,Obispo prestigiodo,Escritor y medico prestigioso,Monje,Escritor y cura,B,2 Valencia Medieval,3 Normal
3/05/2017 8:56:31,Los romanos llamaban al mediterráneo...,Nostrum mar,Mare Nostrum,Mio mare,Mare meua,B,1 Valencia Romana,1 Muy fácil
3/05/2017 8:56:45,¿Que edificios hizo Pere Compte?,El ayuntamiento de Valencia ,El Palau de la Música,Las Torres de Serrano,Las Torres de Quart,C,2 Valencia Medieval,3 Normal
3/05/2017 8:56:51,¿En que año se estrenó dicho himno?,1925,1930,1926,1921,D,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 8:57:15,En quien any es va construir la muralla València?,1363,1453,1323,1370,A,2 Valencia Medieval,4 Complicada
3/05/2017 8:57:19,De quin any a quin any va durar ka València Medieval?,601- 1570,434-1390,520-1500,476-1492,D,2 Valencia Medieval,5 Muy complicada
3/05/2017 8:57:22,Que va fundar el Pare Jofre,Una institucio psquiatrica,Una escola per a sords,El monestir de Sant Miquel dels Reis,Un colegi per a orfes,A,2 Valencia Medieval,3 Normal
3/05/2017 8:57:27,Elige una compañia telefónica,Mariophone,Yellow,Pepephone,McDonald's,C,6 Red de telefonía en Valencia,1 Muy fácil
3/05/2017 8:57:51,Los romanos llamaban a todos los extranjeros.....,guiris,extranjeros,bárbaros,non romanus,C,1 Valencia Romana,1 Muy fácil
3/05/2017 8:58:20,Quin hospital va fundar Joan Gilabert?,La fe antigua,L'hospital de Folls,L'hospital dels inocents,El peset,C,2 Valencia Medieval,3 Normal
3/05/2017 8:58:26,¿Que fue joan Gilbert?,Escritor y medico,Sacerdote,Religioso mercenario y sacerdote,Un mendigo,C,2 Valencia Medieval,3 Normal
3/05/2017 8:58:58,Nombra una canción de la época de la Guerra Civil Española,¡Ay Carmela ! ,El patio de mi casa,La Bouche ,Vamos a luchar,A,5 Valencia desde la guerra civil hasta el presente,2 Fácil
3/05/2017 8:59:27,Según la mitologia Romulo y Remo eran descendientes de....,Marte y Venus,Marte y Diana,Júpiter y Juno,Mercurio y Minerva,A,1 Valencia Romana,4 Complicada
3/05/2017 8:59:37,¿Qué es una WAN?,Una videoconsola,Una compañia de teléfonos,Un ordenador para compañias importantes,Un protocolo de Internet,D,6 Red de telefonía en Valencia,2 Fácil
3/05/2017 9:00:40,On va ser sosterrada Maria  de Castella,En la iglesia de San Tomas ,En la iglesia de  sant nicolas,Monestir de la trinidad,En la catedral de Valencia,,2 Valencia Medieval,3 Normal
3/05/2017 9:01:07,Las formas políticas que tuvo Roma fueron...,República e Imperio,Imperio,Ninguna,"Monarquia, República e Imperio",D,1 Valencia Romana,3 Normal
3/05/2017 9:01:11,¿Qué podemos utilizar para conectarnos a Internet?,Ordenador,Router,Coaxial,Todas las anteriores,D,6 Red de telefonía en Valencia,3 Normal
3/05/2017 9:01:38,De que época es la canción A las barricadas.,Antes de la guerra,Durante la postguerra,Durante la Guerra ,De la actualidad,C,5 Valencia desde la guerra civil hasta el presente,2 Fácil
3/05/2017 9:02:44,Roma gana las colonias de Hispania al vencer al General cartaginés....,Gladiator,Espartaco,Anibal,Justiniano,C,1 Valencia Romana,3 Normal
3/05/2017 9:03:18,En la parte superior de La Lonja se habilitó un espacio que servía de prisión. ¿ A quién encerraban allí?,a los ladrones,a los indigentes,a los comerciantes morosos en el pago,a los enfermos,C,3 Valencia Moderna,2 Fácil
3/05/2017 9:03:41,¿Cuál de estos productos es un Sistema Operativo?,Microsoft Office 2017,Windows linux,Windows XP,Spotify,C,6 Red de telefonía en Valencia,2 Fácil
3/05/2017 9:04:07,¿En qué año se fundo VALENTIA?,753 ac,138 ac,138 dc,753 dc,B,1 Valencia Romana,2 Fácil
3/05/2017 9:04:33,¿En qué año empezó la Guerra Civil Española?,1935,1936,1937,1938,B,5 Valencia desde la guerra civil hasta el presente,3 Normal
3/05/2017 9:04:35,¿Qué significan las siglas WWW?,World Wide Web,World Wildlife Fund,Web Wild World,Ninguna de las anteriores,A,6 Red de telefonía en Valencia,3 Normal
3/05/2017 9:04:49,¿ En qué barrio de Valencia se encuentra el Palau de la Generalitat?,en el barrio de El Carmen,en Ruzafa,en Patraix,en San Marcelino,A,3 Valencia Moderna,1 Muy fácil
